sequence_id	individual_id	Folder	simple_id	supplier_id	seq_depth	subset	exclude	genus	sex	clade	location	sublocation	undescribed	source	calcua_read_location	seq_source	read_type	calcua_alignment_location_fAstCal1.2	study	study_id
SRR13340505	Fel_cha_Fch-1a	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13340505_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13340505_2.fastq.gz		fqz_1_2		Felidhet	
SRR15116526	Fel_lyb_FLI3	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR15116526_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR15116526_2.fastq.gz		fqz_1_2		Felidhet	
SRR15116525	Fel_lyb_FLI4	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR15116525_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR15116525_2.fastq.gz		fqz_1_2		Felidhet	
ERR10494332	Fel_lyb_FSI47	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR10494332_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR10494332_2.fastq.gz		fqz_1_2		Felidhet	
SRR12385450	Fel_mar_FMA	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR12385450_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR12385450_2.fastq.gz		fqz_1_2		Felidhet	
SRR12385452	Fel_mar_FMA	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR12385452_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR12385452_2.fastq.gz		fqz_1_2		Felidhet	
ERR10494328	Fel_mar_FMA8	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR10494328_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR10494328_2.fastq.gz		fqz_1_2		Felidhet	
ERR10494329	Fel_mar_FMA8	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR10494329_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR10494329_2.fastq.gz		fqz_1_2		Felidhet	
ERR10494330	Fel_mar_FMA8	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR10494330_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR10494330_2.fastq.gz		fqz_1_2		Felidhet	
SRR13167950	Fel_nig_FNig_DNA725	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13167950_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13167950_2.fastq.gz		fqz_1_2		Felidhet	
ERR2639732	Fel_sil_ex38_E1	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR2639732_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR2639732_2.fastq.gz		fqz_1_2		Felidhet	
SRR6071635	Her_yag_HJA5	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071635_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071635_2.fastq.gz		fqz_1_2		Felidhet	
SRR13887964	Her_yag_PumYag	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13887964_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13887964_2.fastq.gz		fqz_1_2		Felidhet	
SRR13887965	Her_yag_PumYag	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13887965_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR13887965_2.fastq.gz		fqz_1_2		Felidhet	
SRR6071642	Leo_col_LCO3	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071642_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071642_2.fastq.gz		fqz_1_2		Felidhet	
SRR25058273	Leo_col_Lcol1CL	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058273_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058273_2.fastq.gz		fqz_1_2		Felidhet	
SRR6071644	Leo_emi_LTI6	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071644_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071644_2.fastq.gz		fqz_1_2		Felidhet	
SRR6071645	Leo_geo_OGE3	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071645_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071645_2.fastq.gz		fqz_1_2		Felidhet	
SRR25058272	Leo_gui_Lgui1CL	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058272_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058272_2.fastq.gz		fqz_1_2		Felidhet	
SRR25058274	Leo_jac_LJA-1	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058274_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058274_2.fastq.gz		fqz_1_2		Felidhet	
SRR19064315	Leo_par_LP339	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR19064315_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR19064315_2.fastq.gz		fqz_1_2		Felidhet	
SRR6071643	Leo_par_LPA6	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071643_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071643_2.fastq.gz		fqz_1_2		Felidhet	
SRR25058275	Leo_par_wmLPA-1	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058275_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058275_2.fastq.gz		fqz_1_2		Felidhet	
SRR25058271	Leo_tig_bLgt652	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058271_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058271_2.fastq.gz		fqz_1_2		Felidhet	
SRR25058267	Leo_tig_bLti242	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058267_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058267_2.fastq.gz		fqz_1_2		Felidhet	
SRR25058270	Leo_tig_LTI13	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058270_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058270_2.fastq.gz		fqz_1_2		Felidhet	
SRR25058269	Leo_tig_LTI32451	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058269_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058269_2.fastq.gz		fqz_1_2		Felidhet	
SRR25058268	Leo_tig_LTI32454	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058268_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25058268_2.fastq.gz		fqz_1_2		Felidhet	
SRR19064314	Leo_wie_398-Wiedii	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR19064314_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR19064314_2.fastq.gz		fqz_1_2		Felidhet	
SRR6071636	Lep_ser_PSE16	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071636_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071636_2.fastq.gz		fqz_1_2		Felidhet	
SRR6071634	Lyn_can_LCA3	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071634_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR6071634_2.fastq.gz		fqz_1_2		Felidhet	
SRR25749001	Lyn_can_mLynCan4	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25749001_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25749001_2.fastq.gz		fqz_1_2		Felidhet	
SRR25749000	Lyn_can_mLynCan4	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25749000_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25749000_2.fastq.gz		fqz_1_2		Felidhet	
SRR25748989	Lyn_can_mLynCan4	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25748989_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/SRR25748989_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255540	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255540_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255540_2.fastq.gz		fqz_1_2		Felidhet	
ERR1255541	Lyn_lyn_LYNX23	fastq													/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255541_1.fastq.gz,/scratch/antwerpen/grp/asvardal/projects/felids/data/fastq/ERR1255541_2.fastq.gz		fqz_1_2		Felidhet	
